group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
join,c,,,,3458216962.0,ns,6
join,c,,,,3328098682.0,ns,6
join,c,,,,3446179318.0,ns,6
join,c,,,,3494873492.0,ns,6
join,c,,,,3321733067.0,ns,6
join,c,,,,3341144364.0,ns,6
join,c,,,,3840082202.0,ns,6
join,c,,,,3335002494.0,ns,6
join,c,,,,3323154824.0,ns,6
join,c,,,,3323288554.0,ns,6
